Price,Close,High,Low,Open,Volume
Date,,,,,
1998-11-16,2945.39990234375,2972.800048828130,2939.669921875,2953.530029296880,0
1998-11-17,2968.60009765625,2973.89990234375,2947.39990234375,2947.39990234375,0
1998-11-18,3003.25,3007.659912109380,2972.75,2975.780029296880,0
1998-11-19,2964.8701171875,3015.820068359380,2964.8701171875,3010.72998046875,0
1998-11-20,2941.389892578130,2974.699951171880,2932.85009765625,2966.139892578130,0
1998-11-23,2919.570068359380,2938.330078125,2908.159912109380,2929.989990234380,0
1998-11-24,2903.56005859375,2936.739990234380,2901.43994140625,2925.570068359380,0
1998-11-25,2881.68994140625,2900.360107421880,2874.169921875,2900.360107421880,0
1998-11-26,2825.080078125,2896.18994140625,2815.969970703130,2874.260009765630,0
1998-11-27,2783.10009765625,2826.159912109380,2772.0400390625,2825.06005859375,0
1998-11-30,2810.659912109380,2810.659912109380,2741.699951171880,2771.68994140625,0
